Player,BatsmenRating
Usman Limbada,0.6
NM Coulter-Nile,1.6
RP Magar,0.6
IS Billcliff,0.6
TGJ Gruijters,0.6
Raqibul Hasan,0.6
HA Varaiya,4.6
Ghulam Shabber,0.6
Hamid Hassan,2.4
Mohammad Yousuf,0.6
U Bhatti,0.6
CU Jayasinghe,0.6
HG Kuhn,0.6
SD Outerbridge,0.6
DA Rankin,0.6
Shahid Wasif,0.6
K Weeraratne,0.6
Junaid Siddiqui,0.6
IA Karim,0.6
KM Dabengwa,0.6
JW Hastings,0.6
MM Iqbal,0.6
NM Odhiambo,0.6
JJ van der Wath,0.6
Haris Sohail,0.6
Haseeb Amjad,2
T van der Gugten,2
JM Davison,0.6
Saad Nasim,0.6
S Badrinath,0.6
NO Miller,0.6
RR Pant,0.6
L Tucker,0.6
Amjad Ali,0.6
JO Holder,0.6
NG Jones,0.6
AT Rayudu,0.6
Abdur Razzak,0.8
Ahmed Raza,1.2
K Jethi,0.6
Mohammad Amir,1.4
K Pala,0.6
Amir Hamza,1.6
BCJ Cutting,0.6
KDK Vithanage,0.6
RR David,0.6
Munir Dar,0.6
Rafatullah Mohmand,0.6
RI Ahmed,0.6
R Flannigan,0.6
NJ Maddinson,0.6
D Mongia,0.6
F Mutizwa,0.6
BJ Watling,0.6
SJ Benn,1.8
JS Foster,0.6
RM Hira,2.4
RJ Campbell,0.6
Mohammed Qasim,0.6
PA Patel,0.6
STR Binny,0.6
CD de Lange,0.6
VV Morea,0.6
D Murphy,0.6
R Powell,0.6
Shuvagata Hom,0.6
Arafat Sunny,0.6
Hammad Azam,0.6
Nadeem Ahmed,1.4
JD Nel,0.6
OL Pitcher,0.6
GO Jones,0.6
MF Maharoof,0.6
RJMGM Rupasinghe,0.6
WPUJC Vaas,0.6
WD Balaji Rao,0.6
SE Findlay,0.6
TG Gordon,0.6
GA Lamb,0.6
SNJ O'Keefe,0.6
Shadab Khan,0.6
J Theron,0.2
JC Tredwell,2.2
B Bhandari,0.6
TR Birt,0.6
R Dravid,0.6
Jahurul Islam,0.6
PA Nixon,0.2
H Osinde,1
WB Rankin,2
MRJ Watt,1.8
WW Hinds,0.6
S Badree,1.4
SS Iyer,0.6
AU Rashid,1.4
Abdul Shakoor,0.6
Ahsan Malik,1.6
Amjad Gul,0.6
PJ Cummins,1
TE Kane,0.6
A Nehra,1.4
PJ Ongondo,0.6
NE Bonner,0.6
DT Christian,1.6
Mehidy Hasan Miraz,0.6
Mohammad Iqbal,0.6
Nadif Chowdhury,0.6
SS Pathirana,0.6
AL Phehlukwayo,0.6
Shapoor Zadran,0.8
I Udana,1.6
MP Vaughan,0.6
Zulfiqar Babar,0.2
TB de Bruyn,0.6
D Ganga,0.6
Hamza Tariq,0.6
TJ Murtagh,2
AJ Turner,0.6
RA Bhatti,0.6
AM Ellis,0.6
CRD Fernando,1.2
G Goudie,0.6
RK Kleinveldt,0.6
PM Nevill,0.6
N Pooran,0.6
Raza-ur-Rehman,0.6
Shahriar Nafees,0.6
JW Dernbach,1.2
JN Gillespie,0.6
Rameez Raja,0.6
CP Schofield,0.6
C Zhuwao,0.6
KJ Abbott,2
AB Barath,0.6
Bilawal Bhatti,0.6
T Panyangara,3
LE Plunkett,1.2
Zulqarnain Haider,0.6
Abdur Rehman,0.6
AB Dinda,0.6
PJ Ingram,0.6
WP Masakadza,0.6
M Morkel,1.8
DP Nannes,2.2
AR Nurse,0.6
E Otieno,0.6
B Regmi,0.6
FL Reifer,0.6
Umair Ali,0.6
Anas Khan,0.2
SE Bond,1.2
PC de Silva,0.6
MR Gillespie,1
Kamran Shazad,0.6
AF Milne,0.8
Mohammad Nadeem,0.6
Mohammad Sami,2.2
Rony Talukdar,0.6
Shoaib Akhtar,1.8
SJS Smith,0.6
Taskin Ahmed,1.6
PA van Meekeren,1.2
RL Bhudia,0.6
JL Denly,0.6
DL Hemp,0.6
MJ North,0.6
JRMVB Sanjaya,0.6
S Sreesanth,0.6
Fahad Tariq,0.6
HGJM Kulatunga,0.6
CJ McKay,0.6
Muktar Ali,0.2
AM Phangiso,1.4
RLB Rambukwella,0.6
SV Samson,0.6
Shafiul Islam,1
RW Chakabva,0.6
LHD Dilhara,0.2
XJ Doherty,1.8
Hazratullah,0.6
Imran Tahir,2.4
Khurram Chohan,0.6
B Kumar,1.4
SW Masakadza,0.6
CT Mutombodzi,0.6
Nauman Anwar,0.6
Naved-ul-Hasan,0.6
Raza Hasan,0.2
CA Soper,0.6
S Thuraisingam,0.6
JW Wilson,0.6
TL Best,0.2
TS Chisoro,0.6
Faheem Ashraf,0.6
LN Onyango,0.6
PVD Chameera,2.2
CJ Ferguson,0.6
Kuldeep Yadav,0.6
LS Livingstone,0.6
Mehrab Hossain jnr,0.6
GD Phillips,0.6
JB Reva,0.6
BJ Rohrer,0.6
EHSN Silva,0.6
AB Agarkar,0.6
NW Bracken,1
BE Hendricks,0.6
E Katchay,0.6
HM Nicholls,0.6
LA Pomersbach,0.6
RW Price,0.8
Rubel Hossain,1.4
Shabir Noori,0.6
J Smits,0.6
DW Steyn,1
AO Suji,0.6
DT Tiripano,0.6
MK Tiwary,0.6
JDF Vandersay,0.6
VB van Jaarsveld,0.6
Abu Hider,0.6
SG Borthwick,0.6
ST Finn,0.6
MJ McClenaghan,1.2
JAH Marshall,0.6
GH O'Brien,0.6
AN Petersen,0.6
VD Philander,0.6
Saqlain Haider,0.6
VS Wategaonkar,0.6
CM Wright,0.6
AR Adams,0.6
TA Boult,0.8
J Edness,0.6
CR Foggo,0.6
SP Gauchan,0.6
PA Hitchcock,0.6
SHT Kandamby,0.6
SKW Kelly,0.2
Z Khan,1.8
Mohammad Rafique,0.6
CB Mpofu,1.6
CMW Read,0.6
Sufyan Mehmood,0.2
Usman Mushtaq,0.6
J Anderson,0.6
HMCM Bandara,0.6
HJH Marshall,0.6
NV Ojha,0.6
KOA Powell,0.6
R Rampaul,1.6
MA Starc,1
Fayyaz Ahmed,0.6
AJ Hall,0.6
Inzamam-ul-Haq,0.2
Khurram Manzoor,0.6
KS Lokuarachchi,0.6
WK McCallan,0.6
AK Mandal,0.6
AA Mulla,0.6
V Shetty,0.6
IS Sodhi,1
SW Tait,1
RM West,0.6
Yasir Shah,0.2
A Zampa,1
CS Baugh,0.6
FH Edwards,1.2
MJ Henry,0.6
S Jyoti,0.6
RWT Key,0.2
M Ntini,0.6
PP Ojha,0.2
BA Parchment,0.6
N Pokana,0.6
P Raho,0.2
ACL Richards,0.6
MP Stoinis,0.2
ZE Surkari,0.6
SR Tendulkar,0.6
RJ Trott,0.6
Abul Hasan,0.6
Afsar Zazai,0.6
AC Agar,0.6
JJ Celestine,0.6
FRJ Coleman,0.6
Elias Sunny,0.6
KM Jarvis,0.6
R McLaren,1.4
Mohammad Asif,0.2
JS Patel,0.6
WKD Perkins,0.6
A Poulose,0.6
KW Richardson,0.6
IH Romaine,0.6
Sikander Zulfiqar,0.2
TP Visee,0.6
AM Blignaut,0.6
GH Bodi,0.6
JJ Bumrah,1
TL Chatara,1
AS Dean,0.6
B Fernando,0.2
HMRKB Herath,1
S Randiv,0.6
BAW Mendis,0.8
Mustafizur Rahman,0.8
Shahadat Hossain,0.6
I Sharma,1.4
BV Vitori,0.2
Adnan Mufti,0.2
Al-Amin Hossain,0.8
RP Arnold,0.6
NB Budayair,0.6
MA Carberry,0.6
LA Dawson,0.2
P Kumar,0.6
ND McKenzie,0.2
A Nao,0.2
Qadeer Ahmed,0.6
GA Rogers,0.2
E Schiferli,0.6
JN Snape,0.6
Syed Rasel,0.6
Tanveer Ahmed,0.6
LV van Beek,0.6
D Bishoo,0.6
DG Brownlie,0.6
RMS Eranga,0.6
NM Hauritz,0.6
PJ Hughes,0.6
Javed Ahmadi,0.6
KO Meth,0.2
J Mulder,0.6
JA Rudolph,0.2
R Strydom,0.6
BM Wheeler,0.6
SA Abbott,0.6
M Ansari,0.2
MS Atapattu,0.6
Bilal Khan,1.2
IG Butler,0.8
Karan KC,0.6
GD McGrath,0.6
CS Martin,0.2
Mohammad Salman,0.6
T Mupariwa,0.2
N M'shangwe,0.6
Parvez Rasool,0.6
JL Pattinson,0.2
AG Prince,0.6
K Rabada,0.6
RJ Ranpura,0.2
RJ Sidebottom,1
R Telemachus,0.2
DR Tuffey,0.6
GJ Batty,0.6
JAR Blain,0.6
CJ Boyce,0.6
NM Carter,0.6
PC Connell,0.6
PA Desai,0.2
Farhan Ahmed,0.6
A Karn,0.6
CK Langeveldt,0.6
RT Lyons,0.6
GE Mathurin,0.2
Mohammad Irfan,0.4
Mohammad Tauqir,0.6
JM Muirhead,0.6
Nazmus Sadat,0.6
JO Ngoche,0.6
D Paterson,0.2
AK Perera,0.6
NJ Reardon,0.6
SP Terry,0.6
T Thushara,0.6
AJ Tye,0.6
CA Young,0.8
MC Bascombe,0.6
CL Cairns,0.6
YS Chahal,1
ST de Silva,0.6
Fawad Ahmed,0.2
WT Gavera,0.6
AM Guruge,0.6
Hasan Ali,1
Junaid Khan,0.2
MS Kasprowicz,0.2
GJP Kruger,0.6
Nazmul Hossain,0.2
CAK Rajitha,0.2
KAJ Roach,0.2
MM Sharma,0.2
RP Singh,0.2
Zahid Hussain,0.2
KMC Bandara,0.2
OO Bascome,0.6
A Bhattarai,0.6
JP Bray,0.6
GB Brent,0.6
TK Curran,0.2
Dawlat Ahmadzai,0.2
JOA Gordon,0.2
RJ Harris,0.2
BW Hilfenhaus,0.6
H Hiri,0.6
AJ Ireland,0.2
A Khan,0.6
RJ Kirtley,0.2
RAS Lakmal,0.6
MJ Mason,0.6
Najeeb Amar,0.6
L Ngidi,0.2
L Nou,0.2
JNK Shannon,0.6
LL Tsotsobe,0.6
Usman Khan,0.2
R Vinay Kumar,0.2
UWMBCA Welegedara,0.2
BTJ Wheal,0.2
KOK Williams,0.2
Zaheer Maqsood,0.6
Aftab Alam,0.2
JM Anderson,0.8
TD Astle,0.6
DE Bernard,0.2
DE Bollinger,0.2
DR Brown,0.6
R Dhawan,0.2
Dhiman Ghosh,0.6
HH Dippenaar,0.6
AC Evans,0.6
Hashmatullah Shahidi,0.2
JS Jesani,0.6
MBS Jonkman,0.6
GE Kidd,0.2
VJ Kingma,0.6
DS Kulkarni,0.2
J Lewis,0.6
J Louw,0.2
SI Mahmood,0.2
RD McCann,0.6
Muhammed Shanil,0.2
M Muralitharan,0.6
M Nasim Baras,0.6
ML Nkala,0.6
MS Panesar,0.6
SD Parry,0.6
MDK Perera,0.6
DBL Powell,0.2
EC Rainsford,0.2
Sandeep Sharma,0.2
Sayed Shirzad,0.6
PM Siddle,0.2
Sohail Khan,0.2
Suhrawadi Shuvo,0.2
EP Thompson,0.2
RJW Topley,0.2
TE Tucker,0.6
I Wardlaw,0.6
G Wijekoon,0.6
Yamin Ahmadzai,0.2
Aizaz Cheema,0
MS Aulakh,0
CT Bancroft,0
IDR Bradshaw,0
DR Briggs,0
AF Buurman,0
PP Chawla,0
DO Christian,0
SS Cottrell,0
A Dananjaya,0
Ehsan Nawaz,0
N Pradeep,0
SM Harwood,0
T Henderson,0
KC Hodsoll,0
Iftikhar Ahmed,0
Imran Khan,0
Izatullah Dawlatzai,0
Kaleemullah,0
S Keshvani,0
RN Lewis,0
J Little,0
AJ McKay,0
GI Maiden,0
BJ McCarthy,0
A Mehmood,0
TS Mills,0
A Mishra,0
Mohammad Kashif,0
Mohammad Qazi,0
HJC Mol,0
JK Mukhiya,0
T Muzarabani,0
A Nel,0
AA Noffke,0
MM Patel,0
PDRL Perera,0
DM Richards,0
JA Richardson,0
K Santokie,0
A Shahzad,0
Shakeel Ansar,0
MS Sinclair,0
L Sreekumar,0
M Zondeki,0
Aamer Yamin,0
YA Abdulla,0
Abdur Rauf,0
GW Aldridge,0
TR Ambrose,0
S Aravind,0
Arsalan Qadir,0
Asad Ali,0
Atif Ali Khan,0
P Awana,0
LS Baker,0
L Balaji,0
TC Bastiampillai,0
MD Bates,0
D Bau,0
JP Behrendorff,0
TA Blundell,0
N Boje,0
SM Boland,0
CG Burnett,0
DK Butler,0
SR Clark,0
MS Crane,0
D Daesrath,0
M de Lange,0
SI de Saram,0
BJ Diamanti,0
PS Eaglestone,0
Fareed Ahmad,0
LH Ferguson,0
R Frylinck,0
ST Gabriel,0
B Geeves,0
DM Gondaria,0
D Gough,0
HF Gurney,0
SJ Harmison,0
JR Hazlewood,0
Iftikhar Anjum,0
Imran Haider,0
Joginder Sharma,0
Jubair Hossain,0
TP Kamungozi,0
M Kartik,0
B Laughlin,0
E Leie,0
RDM Leverock,0
ML Lewis,0
NM Lyon,0
GT Main,0
Mansoor Amjad,0
A Martin,0
GJ McCarter,0
SC Meaker,0
Mohammad Nawaz,0
Mohammad Shahid,0
Mohammed Shami,0
Mohammed Siraj,0
GMC Mol,0
Nasir Aziz,0
P Negi,0
IE O'Brien,0
LN Oluoch,0
MA Parker,0
KTGD Prasad,0
D Pretorius,0
M Pushpakumara,0
Robiul Islam,0
Rokhan Barakzai,0
Rumman Raees,0
Sajedul Islam,0
PADLR Sandakan,0
Saqlain Sajib,0
JD Schoonheim,0
Shabbir Ahmed,0
T Shamsi,0
Sharafuddin Ashraf,0
Sharif Asadullah,0
KV Sharma,0
R Sharma,0
CB Sole,0
BB Sran,0
B Stanlake,0
Sultan Ahmed,0
Tanvir Ahmed,0
AC Thomas,0
DC Thomas,0
GC Tonge,0
CT Tremlett,0
S Tyagi,0
JD Unadkat,0
MB van Schelven,0
DJ Vilas,0
SR Welsh,0
MA Wood,0
LJ Woodcock,0
UT Yadav,0
Zahoor Khan,0
Zamir Khan,0
R Dhawan,1
WD Parnell,1
DB Ravi Teja,2
RA Jadeja,2
AC Thomas,1
JD Ryder,4
BJ Rohrer,4
J Botha,2
S Anirudha,1
SW Billings,2
MJ Clarke,3
AC Voges,3
J Suchith,1
S Nadeem,1
CM Gautam,2
HH Pandya,1
VR Aaron,1
UA Birla,1
B Sumanth,2
BCJ Cutting,2
RR Raje,1
AN Ghosh,1
Harmeet Singh,1
Umar Gul,1
YS Chahal,1
Azhar Mahmood,3
R Tewatia,1
P Negi,1
SC Ganguly,4
AA Chavan,1
MP Stoinis,2
RP Singh,1
CK Langeveldt,1
DJ Jacobs,2
PJ Sangwan,1
MS Dhoni,3
KC Cariappa,1
V Pratap Singh,1
TR Birt,3
Harpreet Singh,1
C Nanda,1
FY Fazal,3
Shoaib Akhtar,1
Imran Tahir,1
AUK Pathan,1
R McLaren,2
Shivam Sharma,1
Yuvraj Singh,3
P Sahu,1
AD Nath,1
CA Lynn,2
KD Karthik,3
K Goel,2
Karanveer Singh,1
MJ McClenaghan,1
X Thalaivan Sargunam,2
KL Rahul,3
MC Juneja,3
Jaskaran Singh,1
M Kartik,1
Kamran Khan,1
LPC Silva,2
AB McDonald,2
Misbah-ul-Haq,3
MD Mishra,2
AR Patel,1
GH Vihari,2
SA Yadav,2
Mohammad Hafeez,2
AB Agarkar,1
YA Abdulla,1
K Upadhyay,1
P Parameswaran,1
DH Yagnik,1
M Rawat,1
DA Miller,4
BJ Hodge,4
RT Ponting,2
SK Warne,1
NS Naik,2
BW Hilfenhaus,1
M Kaif,2
A Zampa,1
AL Menaria,2
SS Tiwary,3
A Symonds,4
CH Gayle,5
KB Arun Karthik,1
WP Saha,2
HV Patel,1
RG Sharma,4
MJ Guptill,1
MEK Hussey,5
MG Johnson,1
SS Iyer,3
S Sriram,3
MA Starc,1
AM Rahane,4
S Ladda,1
P Awana,1
R Bhatia,1
DAJ Bracewell,2
KS Williamson,2
EJG Morgan,3
Y Venugopal Rao,3
AB de Villiers,4
SK Raina,4
DW Steyn,1
SM Katich,4
JR Hopes,3
ST Jayasuriya,4
CJ Jordan,1
Bipul Sharma,1
CK Kapugedera,1
MN Samuels,2
SN Thakur,1
F du Plessis,4
WPUJC Vaas,1
Anirudh Singh,2
A Ashish Reddy,2
JA Morkel,2
V Sehwag,4
DJ Hussey,3
S Rana,2
DE Bollinger,1
Ankit Sharma,1
SM Boland,1
RR Pant,2
AD Mascarenhas,1
KA Pollard,3
DR Smith,4
P Suyal,1
MM Patel,1
A Nel,1
F Behardien,1
M Vijay,4
Sohail Tanvir,1
JH Kallis,4
Kuldeep Yadav,1
WA Mota,1
AT Rayudu,3
VVS Laxman,3
SB Styris,2
DP Vijaykumar,1
A Singh,1
MK Tiwary,3
Anureet Singh,1
B Laughlin,1
MF Maharoof,2
AF Milne,1
Gagandeep Singh,1
TG Southee,1
PM Sarvesh Kumar,1
IC Pandey,1
HM Amla,2
V Kohli,4
M Manhas,2
RG More,1
MR Marsh,2
LA Carseldine,3
AJ Finch,3
SR Watson,4
ND Doshi,1
M Ashwin,1
P Amarnath,1
CL White,3
S Kaul,1
TM Dilshan,4
JC Buttler,2
SR Tendulkar,5
KM Jadhav,2
DT Christian,2
JM Kemp,1
NL McCullum,2
B Akhil,1
BMAJ Mendis,2
M de Lange,1
SB Bangar,1
IR Jaggi,1
DJ Muthuswami,1
LMP Simmons,5
RE van der Merwe,2
G Gambhir,4
Y Nagar,2
MM Sharma,1
AG Paunikar,2
C Munro,2
Sunny Singh,2
R Bishnoi,1
SE Bond,1
JEC Franklin,3
AM Salvi,1
GJ Maxwell,3
JP Faulkner,2
ML Hayden,5
M Muralitharan,1
Sachin Baby,1
Mohammad Asif,1
A Uniyal,1
CJ Ferguson,2
Mohammed Shami,1
T Thushara,1
CJ McKay,1
Mohammad Ashraful,1
Y Gnaneswara Rao,2
DJG Sammy,2
KV Sharma,1
